"TIME"," 1-REF"
000:00:00.000,66.03
000:00:00.025,52.52
000:00:00.050,30.53
000:00:00.075,22.29
000:00:00.100,19.24
000:00:00.125,30.00
000:00:00.150,48.78
000:00:00.175,49.24
000:00:00.200,26.49
000:00:00.225, 7.71
000:00:00.250,12.37
000:00:00.275,24.35
000:00:00.300,30.08
000:00:00.325,27.33
000:00:00.350,11.98
000:00:00.375, 3.13
000:00:00.400, 4.66
000:00:00.425,-2.82
000:00:00.450,-0.15
000:00:00.475,17.86
000:00:00.500,16.49
000:00:00.525,-7.63
000:00:00.550,-21.60
000:00:00.575,-13.74
000:00:00.600, 6.49
000:00:00.625,14.66
000:00:00.650,-5.27
000:00:00.675, 1.76
000:00:00.700,18.55
000:00:00.725,22.98
000:00:00.750,11.22
000:00:00.775,-2.44
000:00:00.800,-1.53
000:00:00.825,-11.07
000:00:00.850,-20.92
000:00:00.875,-20.08
000:00:00.900,-4.73
000:00:00.925,-18.70
000:00:00.950,-32.21
000:00:00.975,-32.37
000:00:01.000,-27.56
000:00:01.025,-23.51
000:00:01.050,-23.28
000:00:01.075,-27.71
000:00:01.100,-12.37
000:00:01.125, 2.82
000:00:01.150,-4.66
000:00:01.175,-18.93
000:00:01.200,-16.18
000:00:01.225, 0.84
000:00:01.250, 4.20
000:00:01.275,-2.14
000:00:01.300, 4.81
000:00:01.325, 4.50
000:00:01.350,-7.79
000:00:01.375,-3.05
000:00:01.400,12.82
000:00:01.425,17.33
000:00:01.450, 3.89
000:00:01.475,-10.23
000:00:01.500,-4.43
000:00:01.525, 0.23
000:00:01.550,-1.45
000:00:01.575, 5.11
000:00:01.600, 6.49
000:00:01.625, 7.94
000:00:01.650, 9.69
000:00:01.675,11.91
000:00:01.700,14.50
000:00:01.725,13.82
000:00:01.750, 9.77
000:00:01.775, 7.18
000:00:01.800, 1.91
000:00:01.825, 7.33
000:00:01.850,13.21
000:00:01.875,16.95
000:00:01.900, 5.80
000:00:01.925, 1.68
000:00:01.950,-10.00
000:00:01.975,-25.19
000:00:02.000,-6.95
000:00:02.025,15.11
000:00:02.050, 3.97
000:00:02.075,-9.69
000:00:02.100,-11.76
000:00:02.125,-2.90
000:00:02.150,-7.10
000:00:02.175, 2.44
000:00:02.200,10.76
000:00:02.225, 4.50
000:00:02.250,-4.12
000:00:02.275,-9.69
000:00:02.300,31.07
000:00:02.325,126.18
000:00:02.350,161.68
000:00:02.375,135.88
000:00:02.400,99.85
000:00:02.425,70.38
000:00:02.450,42.06
000:00:02.475, 9.24
000:00:02.500,-24.89
000:00:02.525,-19.08
000:00:02.550,-17.40
000:00:02.575,-43.05
000:00:02.600,-57.40
000:00:02.625,-68.85
000:00:02.650,-63.36
000:00:02.675,-41.98
000:00:02.700,-23.44
000:00:02.725,-29.62
000:00:02.750,-41.83
000:00:02.775,-59.47
000:00:02.800,-57.63
000:00:02.825,-21.60
000:00:02.850,12.14
000:00:02.875, 5.88
000:00:02.900,-32.67
000:00:02.925,-33.89
000:00:02.950,-23.97
000:00:02.975,-13.59
000:00:03.000,-3.05
000:00:03.025, 2.29
000:00:03.050,-5.57
000:00:03.075,-10.76
000:00:03.100,-14.05
000:00:03.125,-12.44
000:00:03.150,-30.69
000:00:03.175,-61.76
000:00:03.200,-64.43
000:00:03.225,-40.61
000:00:03.250,-33.36
000:00:03.275,-40.31
000:00:03.300,-41.83
000:00:03.325,-39.92
000:00:03.350,-34.96
000:00:03.375,-19.01
000:00:03.400,-18.09
000:00:03.425,-27.48
000:00:03.450,-38.70
000:00:03.475,-39.69
000:00:03.500,-19.85
000:00:03.525,13.59
000:00:03.550,20.61
000:00:03.575,-2.37
000:00:03.600,-27.40
000:00:03.625,-30.69
000:00:03.650,-17.40
000:00:03.675, 0.08
000:00:03.700, 6.11
000:00:03.725,10.61
000:00:03.750, 1.91
000:00:03.775,-7.18
000:00:03.800,-0.99
000:00:03.825,15.19
000:00:03.850,28.32
000:00:03.875,19.77
000:00:03.900, 3.74
000:00:03.925, 3.89
000:00:03.950,12.90
000:00:03.975,16.03
000:00:04.000, 0.46
000:00:04.025, 6.18
000:00:04.050,15.95
000:00:04.075,12.29
000:00:04.100,11.98
000:00:04.125,13.82
000:00:04.150,22.29
000:00:04.175,22.98
000:00:04.200, 8.63
000:00:04.225, 1.91
000:00:04.250, 4.27
000:00:04.275,23.44
000:00:04.300,17.18
000:00:04.325, 8.09
