"TIME"," 1-REF"
000:00:06.250,70.76
000:00:06.275,41.15
000:00:06.300,19.62
000:00:06.325, 7.71
000:00:06.350, 6.49
000:00:06.375,23.44
000:00:06.400,61.45
000:00:06.425,121.37
000:00:06.450,155.11
000:00:06.475,111.68
000:00:06.500,74.58
000:00:06.525,51.91
000:00:06.550, 4.27
000:00:06.575,-10.38
000:00:06.600, 0.84
000:00:06.625,-10.08
000:00:06.650,-25.27
000:00:06.675,-29.85
000:00:06.700,-24.27
000:00:06.725,-13.66
000:00:06.750,-6.34
000:00:06.775,-14.50
000:00:06.800,-6.49
000:00:06.825,13.13
000:00:06.850, 4.81
000:00:06.875,-22.82
000:00:06.900,-24.50
000:00:06.925,-5.42
000:00:06.950,-2.44
000:00:06.975,-13.89
000:00:07.000,-5.65
000:00:07.025, 1.76
000:00:07.050, 3.21
000:00:07.075,-3.66
000:00:07.100,-5.34
000:00:07.125,-10.92
000:00:07.150,-16.34
000:00:07.175,-13.74
000:00:07.200,10.69
000:00:07.225,12.98
000:00:07.250,-9.47
000:00:07.275,-6.18
000:00:07.300,13.21
000:00:07.325,15.65
000:00:07.350, 5.88
000:00:07.375,-7.56
000:00:07.400, 2.98
000:00:07.425,13.66
000:00:07.450,12.44
000:00:07.475, 2.29
000:00:07.500,-3.74
000:00:07.525, 7.56
000:00:07.550,13.36
000:00:07.575, 7.02
000:00:07.600, 7.94
000:00:07.625, 9.85
000:00:07.650,13.28
000:00:07.675, 7.48
000:00:07.700,12.98
000:00:07.725,13.51
000:00:07.750,-6.11
000:00:07.775,-21.15
000:00:07.800, 2.44
000:00:07.825, 7.79
000:00:07.850,-5.88
000:00:07.875,-2.14
000:00:07.900, 0.46
000:00:07.925,-8.02
000:00:07.950,-14.43
000:00:07.975,-15.73
000:00:08.000,-2.21
000:00:08.025, 3.97
000:00:08.050,-8.55
000:00:08.075,-12.98
000:00:08.100,10.38
000:00:08.125,14.89
000:00:08.150,13.74
000:00:08.175, 2.44
000:00:08.200, 1.83
000:00:08.225, 7.94
000:00:08.250, 8.93
000:00:08.275, 8.93
000:00:08.300, 8.70
000:00:08.325, 5.42
000:00:08.350,25.11
000:00:08.375,78.09
000:00:08.400,141.45
000:00:08.425,126.64
000:00:08.450,74.89
000:00:08.475,27.86
000:00:08.500, 0.00
000:00:08.525,-16.64
000:00:08.550,-30.00
000:00:08.575,-34.35
000:00:08.600,-37.86
000:00:08.625,-31.22
000:00:08.650,-44.20
000:00:08.675,-49.85
000:00:08.700,-37.79
000:00:08.725,-20.08
000:00:08.750,-21.45
000:00:08.775,-34.73
000:00:08.800,-29.01
000:00:08.825, 3.89
000:00:08.850,12.44
000:00:08.875,-3.21
000:00:08.900,-23.28
000:00:08.925,-14.43
000:00:08.950,-14.81
000:00:08.975,-19.39
000:00:09.000,-25.42
000:00:09.025,-24.89
000:00:09.050,-31.30
000:00:09.075,-40.00
000:00:09.100,-48.32
000:00:09.125,-41.53
000:00:09.150,-24.50
000:00:09.175,-1.68
000:00:09.200,26.03
000:00:09.225,35.27
000:00:09.250,30.99
000:00:09.275,16.26
000:00:09.300,13.05
000:00:09.325,15.50
000:00:09.350, 0.00
000:00:09.375,-18.02
000:00:09.400,-14.12
000:00:09.425, 5.34
000:00:09.450,-0.61
000:00:09.475,-21.60
000:00:09.500,-20.23
000:00:09.525,-2.21
000:00:09.550, 5.73
000:00:09.575,-12.75
000:00:09.600,-21.15
000:00:09.625,-5.88
000:00:09.650,-6.95
000:00:09.675,-9.85
000:00:09.700,-10.46
000:00:09.725,-2.14
000:00:09.750,-5.42
000:00:09.775,-18.55
000:00:09.800,-15.11
000:00:09.825,-14.73
000:00:09.850,-10.53
000:00:09.875,-3.51
000:00:09.900, 7.79
000:00:09.925,-2.14
000:00:09.950,-14.20
000:00:09.975,-10.31
000:00:10.000,-6.49
000:00:10.025, 8.47
000:00:10.050,16.72
000:00:10.075,-12.29
000:00:10.100,-38.24
000:00:10.125,-30.99
000:00:10.150,-10.31
000:00:10.175,-19.16
000:00:10.200,-48.40
000:00:10.225,-43.59
000:00:10.250,-19.31
000:00:10.275,-29.85
000:00:10.300,-57.18
000:00:10.325,-40.00
000:00:10.350,-16.34
000:00:10.375,-32.67
000:00:10.400,-40.23
000:00:10.425,-27.94
000:00:10.450,-5.27
000:00:10.475, 0.31
000:00:10.500,-4.81
000:00:10.525,-7.40
000:00:10.550,-2.60
000:00:10.575,-1.68
000:00:10.600,-8.63
000:00:10.625,-2.82
000:00:10.650, 4.35
000:00:10.675,-7.86
000:00:10.700,-2.44
000:00:10.725, 8.09
000:00:10.750, 9.31
000:00:10.775,-8.85
000:00:10.800,-19.69
000:00:10.825,-13.13
000:00:10.850,10.92
000:00:10.875, 9.69
000:00:10.900,-4.05
000:00:10.925,-14.43
000:00:10.950,-11.30
000:00:10.975,-1.91
000:00:11.000, 9.39
000:00:11.025, 2.98
000:00:11.050,-5.95
000:00:11.075,-21.76
000:00:11.100,-20.84
000:00:11.125,-20.38
000:00:11.150,-10.23
000:00:11.175,-5.27
000:00:11.200,-9.85
000:00:11.225,-27.33
000:00:11.250,-34.96
000:00:11.275,-21.30
000:00:11.300, 1.53
000:00:11.325,13.05
000:00:11.350,16.56
000:00:11.375,-2.60
000:00:11.400,-10.31
000:00:11.425,-5.50
000:00:11.450,10.99
000:00:11.475,21.76
000:00:11.500,32.60
000:00:11.525,89.08
000:00:11.550,157.02
000:00:11.575,156.56
000:00:11.600,88.63
000:00:11.625,31.22
000:00:11.650,17.56
000:00:11.675, 8.55
000:00:11.700,-7.18
000:00:11.725,-28.47
000:00:11.750,-22.37
000:00:11.775,-13.13
000:00:11.800,-19.31
000:00:11.825,-24.20
000:00:11.850,-18.40
000:00:11.875,-12.14
000:00:11.900,-11.60
000:00:11.925,-18.47
000:00:11.950,-10.69
000:00:11.975,-5.88
000:00:12.000,-16.95
000:00:12.025,-14.35
000:00:12.050,-11.22
000:00:12.075,-7.33
000:00:12.100,-12.75
000:00:12.125,-11.15
000:00:12.150,-19.54
000:00:12.175,-13.74
000:00:12.200,-8.09
000:00:12.225,-16.41
000:00:12.250,-15.11
000:00:12.275, 1.83
000:00:12.300, 1.60
000:00:12.325,-6.34
000:00:12.350,-19.24
000:00:12.375,-9.39
000:00:12.400, 1.91
000:00:12.425, 1.91
000:00:12.450, 5.80
000:00:12.475,-5.19
000:00:12.500,-22.98
000:00:12.525,-21.37
000:00:12.550, 6.64
000:00:12.575,18.32
000:00:12.600, 3.66
000:00:12.625,-24.58
000:00:12.650,-18.32
000:00:12.675,17.33
000:00:12.700,12.90
000:00:12.725,-10.08
000:00:12.750,-7.94
000:00:12.775, 3.05
000:00:12.800, 3.74
000:00:12.825,-3.97
000:00:12.850,-0.76
000:00:12.875, 7.71
000:00:12.900, 4.73
000:00:12.925,-6.56
000:00:12.950,-9.47
000:00:12.975,-6.56
000:00:13.000, 3.74
000:00:13.025, 2.75
000:00:13.050,-3.36
000:00:13.075, 1.53
000:00:13.100, 3.13
000:00:13.125,10.38
000:00:13.150,22.44
000:00:13.175,21.98
000:00:13.200, 1.30
000:00:13.225,-14.20
000:00:13.250, 7.86
000:00:13.275,28.24
000:00:13.300,23.59
000:00:13.325,-10.00
000:00:13.350,-34.27
000:00:13.375,-15.19
000:00:13.400, 9.85
000:00:13.425,-5.95
000:00:13.450,-16.95
000:00:13.475,-8.63
000:00:13.500,-8.55
000:00:13.525,-8.93
000:00:13.550,-8.93
000:00:13.575,-18.24
000:00:13.600,-10.23
000:00:13.625,-4.12
000:00:13.650,-7.94
000:00:13.675,-8.32
000:00:13.700, 3.97
000:00:13.725,19.01
000:00:13.750,23.28
000:00:13.775, 1.30
000:00:13.800, 2.37
000:00:13.825, 5.19
000:00:13.850,10.69
000:00:13.875, 4.96
000:00:13.900, 0.84
000:00:13.925,-12.37
000:00:13.950,-5.95
000:00:13.975, 9.31
000:00:14.000,11.37
000:00:14.025,-4.81
000:00:14.050,-10.76
000:00:14.075,-3.36
000:00:14.100, 3.13
000:00:14.125,-0.99
000:00:14.150,12.37
000:00:14.175, 9.31
000:00:14.200, 8.09
000:00:14.225, 3.82
000:00:14.250, 2.75
000:00:14.275,-3.51
000:00:14.300, 3.51
000:00:14.325,-0.76
000:00:14.350,-12.21
000:00:14.375,-7.18
000:00:14.400,15.88
000:00:14.425,10.08
000:00:14.450, 0.92
000:00:14.475,-6.56
000:00:14.500,-2.52
000:00:14.525,10.23
000:00:14.550,16.56
000:00:14.575,11.30
000:00:14.600, 8.09
000:00:14.625,-3.97
000:00:14.650, 2.06
000:00:14.675,19.54
000:00:14.700,12.52
000:00:14.725,-12.75
000:00:14.750,-1.91
000:00:14.775,20.84
000:00:14.800,48.24
000:00:14.825,80.15
000:00:14.850,126.18
000:00:14.875,125.88
000:00:14.900,97.25
000:00:14.925,52.98
000:00:14.950,10.15
000:00:14.975,-4.96
000:00:15.000,-1.98
000:00:15.025,-12.06
000:00:15.050,-27.18
000:00:15.075,-38.02
000:00:15.100,-27.71
000:00:15.125,-6.95
000:00:15.150,-8.24
000:00:15.175,-23.89
000:00:15.200,-23.36
000:00:15.225,-27.33
000:00:15.250,-54.35
000:00:15.275,-75.42
000:00:15.300,-73.36
000:00:15.325,-78.17
000:00:15.350,-94.05
000:00:15.375,-86.64
000:00:15.400,-58.70
000:00:15.425,-44.12
000:00:15.450,-50.84
000:00:15.475,-45.50
000:00:15.500,-29.92
000:00:15.525,-22.06
000:00:15.550,-29.08
000:00:15.575,-32.60
000:00:15.600,-26.18
000:00:15.625,-15.65
000:00:15.650,-8.17
000:00:15.675,-23.74
000:00:15.700,-25.04
000:00:15.725,-12.44
000:00:15.750,-13.89
000:00:15.775,-21.37
000:00:15.800,-11.45
000:00:15.825, 0.76
000:00:15.850,-2.14
000:00:15.875,-14.66
000:00:15.900,-21.53
000:00:15.925,-4.43
000:00:15.950, 9.08
000:00:15.975,23.74
000:00:16.000,83.21
000:00:16.025,192.90
000:00:16.050,236.64
000:00:16.075,214.43
000:00:16.100,177.63
000:00:16.125,135.65
000:00:16.150,91.53
000:00:16.175,61.07
000:00:16.200,28.02
000:00:16.225,11.15
000:00:16.250,-2.44
000:00:16.275,-13.74
000:00:16.300,-15.73
000:00:16.325,-6.49
000:00:16.350,-14.50
000:00:16.375,-22.90
000:00:16.400,-20.00
000:00:16.425,-16.87
000:00:16.450,-24.81
000:00:16.475,-21.15
