"TIME"," 1-REF"
000:00:00.000,11.15
000:00:00.025, 9.39
000:00:00.050, 6.34
000:00:00.075,-3.51
000:00:00.100,-4.05
000:00:00.125,10.53
000:00:00.150, 7.33
000:00:00.175,-5.11
000:00:00.200,-1.60
000:00:00.225, 5.88
000:00:00.250,10.92
000:00:00.275, 8.17
000:00:00.300,-0.31
000:00:00.325,36.26
000:00:00.350,96.41
000:00:00.375,83.82
000:00:00.400,51.45
000:00:00.425,49.69
000:00:00.450,51.68
000:00:00.475,43.13
000:00:00.500,41.22
000:00:00.525,47.56
000:00:00.550,38.02
000:00:00.575,32.52
000:00:00.600,32.98
000:00:00.625,30.76
000:00:00.650,23.13
000:00:00.675,-0.31
000:00:00.700,-1.45
000:00:00.725, 3.89
000:00:00.750, 4.66
000:00:00.775, 4.73
000:00:00.800, 1.37
000:00:00.825, 7.79
000:00:00.850, 3.59
000:00:00.875,-2.14
000:00:00.900, 7.02
000:00:00.925, 6.41
000:00:00.950, 2.14
000:00:00.975, 3.44
000:00:01.000, 4.81
000:00:01.025,17.71
000:00:01.050,18.17
000:00:01.075, 6.56
000:00:01.100, 0.92
000:00:01.125, 7.79
000:00:01.150,15.27
000:00:01.175,10.15
000:00:01.200, 9.62
000:00:01.225,19.31
000:00:01.250, 9.62
000:00:01.275, 0.08
000:00:01.300, 4.58
000:00:01.325,20.53
000:00:01.350, 8.93
000:00:01.375,-31.22
000:00:01.400,-40.38
000:00:01.425,-34.81
000:00:01.450,-35.34
000:00:01.475,-35.88
000:00:01.500,-31.15
000:00:01.525,-25.95
000:00:01.550,-24.58
000:00:01.575,-32.52
000:00:01.600,-35.11
000:00:01.625,-30.00
000:00:01.650,-26.64
000:00:01.675,-37.02
000:00:01.700,-44.35
000:00:01.725,-12.06
000:00:01.750,31.53
000:00:01.775,34.43
000:00:01.800,13.82
000:00:01.825, 5.88
000:00:01.850,12.82
000:00:01.875,12.52
000:00:01.900, 5.19
000:00:01.925, 9.01
000:00:01.950,18.09
000:00:01.975,15.88
000:00:02.000,11.30
000:00:02.025,12.52
000:00:02.050,16.41
000:00:02.075, 5.95
000:00:02.100,-12.60
000:00:02.125,-8.55
000:00:02.150, 3.97
000:00:02.175, 4.35
000:00:02.200, 1.22
000:00:02.225,-1.91
000:00:02.250,-0.84
000:00:02.275,-3.13
000:00:02.300,-6.18
000:00:02.325, 0.69
000:00:02.350,-0.84
000:00:02.375,-6.26
000:00:02.400, 4.89
000:00:02.425,33.28
000:00:02.450,72.90
000:00:02.475,88.85
000:00:02.500,70.53
000:00:02.525,50.00
000:00:02.550,43.28
000:00:02.575,18.55
000:00:02.600,-16.03
000:00:02.625,-11.53
000:00:02.650,14.35
000:00:02.675, 5.04
000:00:02.700,-9.01
000:00:02.725,-20.08
000:00:02.750,-6.95
000:00:02.775,-16.18
000:00:02.800,-30.23
000:00:02.825,-6.79
000:00:02.850, 4.20
000:00:02.875,-9.77
000:00:02.900,-10.53
000:00:02.925,-6.87
000:00:02.950,-9.47
000:00:02.975,-25.80
000:00:03.000, 7.79
000:00:03.025, 8.55
000:00:03.050,-15.11
000:00:03.075,-32.14
000:00:03.100,-16.56
000:00:03.125,-8.85
000:00:03.150,18.17
000:00:03.175,85.42
000:00:03.200,137.10
000:00:03.225,135.11
000:00:03.250,104.66
000:00:03.275,53.13
000:00:03.300,-3.13
000:00:03.325,-31.83
000:00:03.350,-28.70
000:00:03.375,-37.63
000:00:03.400,-63.05
