"TIME"," 1-REF"
000:00:00.000,48.55
000:00:00.025,39.85
000:00:00.050,36.64
000:00:00.075,39.31
000:00:00.100,33.13
000:00:00.125,37.40
000:00:00.150,35.27
000:00:00.175,19.08
000:00:00.200,22.98
000:00:00.225,39.69
000:00:00.250,31.91
000:00:00.275,-2.52
000:00:00.300,-16.79
000:00:00.325,-13.13
000:00:00.350,-6.79
000:00:00.375, 2.90
000:00:00.400,-9.39
000:00:00.425,-20.15
000:00:00.450,-24.58
000:00:00.475,-29.77
000:00:00.500,-28.63
000:00:00.525,-9.39
000:00:00.550,-3.59
000:00:00.575,-5.95
000:00:00.600,-3.13
000:00:00.625, 4.96
000:00:00.650,-1.83
000:00:00.675,-8.55
000:00:00.700, 2.67
000:00:00.725, 9.69
000:00:00.750,-12.21
000:00:00.775,-27.71
000:00:00.800,-10.23
000:00:00.825,13.21
000:00:00.850,17.56
000:00:00.875,11.91
000:00:00.900, 4.73
000:00:00.925,19.62
000:00:00.950,22.75
000:00:00.975, 8.70
000:00:01.000,-17.25
000:00:01.025,-36.11
000:00:01.050,-39.62
000:00:01.075,-42.52
000:00:01.100,-35.27
000:00:01.125,-12.98
000:00:01.150,-16.41
000:00:01.175,-18.55
000:00:01.200,-12.21
000:00:01.225, 5.19
000:00:01.250, 5.27
000:00:01.275,-16.18
000:00:01.300,-43.51
000:00:01.325,-35.04
000:00:01.350,-24.58
000:00:01.375,-33.28
000:00:01.400,-33.59
000:00:01.425,-13.59
000:00:01.450,-13.28
000:00:01.475,-26.64
000:00:01.500,-24.20
000:00:01.525, 3.59
000:00:01.550,10.92
000:00:01.575,-1.60
000:00:01.600,-10.46
000:00:01.625, 0.99
000:00:01.650,11.83
000:00:01.675,16.56
000:00:01.700,14.58
000:00:01.725,12.29
000:00:01.750, 0.15
000:00:01.775,-4.27
000:00:01.800, 0.69
000:00:01.825,27.71
000:00:01.850,92.52
000:00:01.875,110.53
000:00:01.900,61.91
000:00:01.925,41.98
000:00:01.950,54.50
000:00:01.975,58.63
000:00:02.000,47.79
000:00:02.025,46.87
000:00:02.050,39.16
000:00:02.075,16.11
000:00:02.100,22.29
000:00:02.125,46.03
000:00:02.150,39.39
000:00:02.175,25.57
000:00:02.200,16.95
000:00:02.225,17.40
000:00:02.250,38.02
000:00:02.275,23.51
000:00:02.300,-28.63
000:00:02.325,-41.83
000:00:02.350,-21.91
000:00:02.375,-18.47
000:00:02.400,-27.79
000:00:02.425,-25.88
000:00:02.450,-29.16
000:00:02.475,-22.29
000:00:02.500,-8.85
000:00:02.525,28.40
000:00:02.550,31.07
000:00:02.575,-14.12
000:00:02.600,-21.98
000:00:02.625, 0.69
000:00:02.650,-12.06
000:00:02.675,-50.53
000:00:02.700,-67.40
000:00:02.725,-31.83
000:00:02.750,16.72
000:00:02.775,14.66
000:00:02.800, 1.98
000:00:02.825,-0.84
000:00:02.850,-16.41
000:00:02.875,-20.08
000:00:02.900, 8.85
000:00:02.925,23.28
000:00:02.950,33.51
000:00:02.975,69.77
000:00:03.000,145.50
000:00:03.025,185.65
000:00:03.050,157.63
000:00:03.075,117.56
000:00:03.100,77.94
000:00:03.125,17.10
000:00:03.150,-21.76
000:00:03.175,-10.84
000:00:03.200,15.42
000:00:03.225,15.80
000:00:03.250, 6.11
000:00:03.275,-13.74
000:00:03.300,-31.53
000:00:03.325,-23.97
000:00:03.350, 2.06
000:00:03.375, 8.85
000:00:03.400,-8.70
000:00:03.425,-21.76
000:00:03.450,-19.77
000:00:03.475,-9.62
000:00:03.500, 0.76
000:00:03.525, 0.53
000:00:03.550,-9.85
000:00:03.575,-2.14
000:00:03.600,-0.99
000:00:03.625,-1.91
000:00:03.650,-6.03
000:00:03.675,-7.86
000:00:03.700,-9.39
000:00:03.725,-14.05
000:00:03.750,-4.58
000:00:03.775,44.58
000:00:03.800,78.63
000:00:03.825,61.53
000:00:03.850,28.63
000:00:03.875, 6.49
000:00:03.900, 2.14
000:00:03.925, 8.09
000:00:03.950,13.89
000:00:03.975, 8.17
000:00:04.000,-11.30
000:00:04.025,-27.86
000:00:04.050,-26.11
000:00:04.075,-15.73
000:00:04.100,-26.64
000:00:04.125,-44.66
000:00:04.150,-33.44
000:00:04.175,-13.82
000:00:04.200,-20.69
000:00:04.225,-38.70
000:00:04.250,-35.88
000:00:04.275,-11.68
000:00:04.300,-12.37
000:00:04.325,-35.80
000:00:04.350,-31.22
000:00:04.375,-0.92
000:00:04.400,-6.11
000:00:04.425,-33.59
000:00:04.450,-41.07
000:00:04.475,-22.06
000:00:04.500,-7.18
000:00:04.525,-2.75
000:00:04.550,-8.32
000:00:04.575,-10.99
000:00:04.600,-10.31
000:00:04.625, 5.34
000:00:04.650,12.67
000:00:04.675,18.85
000:00:04.700,30.00
000:00:04.725,21.45
000:00:04.750,11.83
000:00:04.775,11.76
000:00:04.800,12.44
000:00:04.825, 4.43
000:00:04.850,-6.56
000:00:04.875,-1.07
000:00:04.900,25.65
000:00:04.925,103.13
000:00:04.950,180.38
000:00:04.975,169.77
000:00:05.000,98.32
000:00:05.025,40.00
000:00:05.050, 6.11
000:00:05.075,-27.94
000:00:05.100,-37.02
000:00:05.125,-38.70
000:00:05.150,-72.67
000:00:05.175,-82.06
000:00:05.200,-56.26
000:00:05.225,-55.80
000:00:05.250,-61.22
000:00:05.275,-67.71
000:00:05.300,-51.07
000:00:05.325,-27.94
000:00:05.350,-32.82
000:00:05.375,-30.23
000:00:05.400,-31.15
000:00:05.425,-33.28
000:00:05.450,-44.96
000:00:05.475,-42.82
000:00:05.500,-33.44
000:00:05.525,-38.17
000:00:05.550,-32.14
000:00:05.575,-18.85
000:00:05.600,-22.82
000:00:05.625,-12.67
000:00:05.650,10.08
000:00:05.675,30.92
000:00:05.700,18.55
000:00:05.725,-1.45
000:00:05.750,-5.50
000:00:05.775,12.21
000:00:05.800,31.15
000:00:05.825,32.67
000:00:05.850,20.92
000:00:05.875,18.70
000:00:05.900,14.05
000:00:05.925,12.52
000:00:05.950,13.97
000:00:05.975,27.40
000:00:06.000,30.84
000:00:06.025,10.76
000:00:06.050,-7.94
000:00:06.075, 9.39
000:00:06.100,29.85
000:00:06.125,28.63
000:00:06.150,17.48
000:00:06.175,16.79
000:00:06.200,20.69
000:00:06.225,15.57
000:00:06.250,-3.05
000:00:06.275, 3.66
000:00:06.300,26.41
000:00:06.325,36.56
000:00:06.350,33.21
000:00:06.375,25.50
000:00:06.400,15.88
000:00:06.425,12.82
000:00:06.450,15.42
000:00:06.475,32.82
000:00:06.500,49.62
000:00:06.525,34.27
000:00:06.550,14.58
000:00:06.575,-8.17
000:00:06.600,-8.78
000:00:06.625,13.13
000:00:06.650,28.47
000:00:06.675,31.91
000:00:06.700,25.11
000:00:06.725, 1.83
000:00:06.750,-11.91
000:00:06.775,-7.56
000:00:06.800, 8.32
000:00:06.825, 3.59
000:00:06.850,-6.64
000:00:06.875,-28.02
000:00:06.900,-24.58
000:00:06.925,-21.68
000:00:06.950,-18.63
000:00:06.975,-14.73
000:00:07.000,-24.27
000:00:07.025,-28.47
000:00:07.050,-30.76
000:00:07.075,-36.72
000:00:07.100,-33.05
000:00:07.125,-22.21
000:00:07.150,-15.50
000:00:07.175,-22.75
000:00:07.200,-24.81
000:00:07.225,-21.22
000:00:07.250,-25.50
000:00:07.275,-30.23
000:00:07.300,-28.70
000:00:07.325,-23.21
000:00:07.350,-22.06
000:00:07.375,-29.24
000:00:07.400,-24.27
000:00:07.425,-22.67
000:00:07.450,-20.38
000:00:07.475,-18.17
000:00:07.500,-17.40
000:00:07.525,-7.94
000:00:07.550,-15.65
000:00:07.575,-29.39
000:00:07.600,-23.44
000:00:07.625,-5.65
000:00:07.650, 2.52
000:00:07.675,-18.17
000:00:07.700,-32.67
000:00:07.725,-25.88
000:00:07.750,-13.66
000:00:07.775,-6.72
000:00:07.800,-17.40
000:00:07.825,-32.37
000:00:07.850,-35.95
000:00:07.875,-31.68
000:00:07.900,-13.97
000:00:07.925, 5.57
000:00:07.950, 7.10
000:00:07.975,-5.73
000:00:08.000,-7.71
000:00:08.025, 6.11
000:00:08.050, 8.32
000:00:08.075,-0.46
000:00:08.100,-0.53
000:00:08.125,20.38
000:00:08.150, 9.16
000:00:08.175,-9.39
000:00:08.200,-9.01
000:00:08.225, 7.56
000:00:08.250,19.47
000:00:08.275, 7.18
000:00:08.300,-6.56
000:00:08.325,15.27
000:00:08.350,23.89
000:00:08.375, 3.44
000:00:08.400,-6.64
000:00:08.425, 8.47
000:00:08.450,27.10
000:00:08.475,37.71
000:00:08.500,18.17
000:00:08.525,-3.28
000:00:08.550,-5.34
000:00:08.575,14.50
000:00:08.600,16.72
000:00:08.625, 6.79
000:00:08.650,-11.53
000:00:08.675,-32.44
000:00:08.700,-40.46
000:00:08.725,-12.98
000:00:08.750, 6.26
000:00:08.775,-1.76
000:00:08.800,-16.26
000:00:08.825,-18.78
000:00:08.850,-33.59
000:00:08.875,-53.51
000:00:08.900,-41.30
000:00:08.925,-10.84
000:00:08.950,-4.73
000:00:08.975,-17.79
000:00:09.000,-30.53
000:00:09.025,-31.76
000:00:09.050,-15.57
000:00:09.075, 1.37
000:00:09.100, 7.10
000:00:09.125, 1.22
000:00:09.150,-10.84
000:00:09.175,-28.09
000:00:09.200,-31.68
000:00:09.225,-14.35
000:00:09.250,10.46
000:00:09.275, 0.99
000:00:09.300,-25.65
000:00:09.325,-18.63
000:00:09.350,-1.22
000:00:09.375, 2.44
000:00:09.400,-5.95
000:00:09.425,-10.76
000:00:09.450,-3.82
000:00:09.475,-13.36
000:00:09.500,-20.99
000:00:09.525,-0.61
000:00:09.550,20.08
000:00:09.575, 4.35
000:00:09.600,-23.44
000:00:09.625,-24.73
000:00:09.650,-5.19
000:00:09.675,-0.69
000:00:09.700, 5.73
000:00:09.725, 2.75
000:00:09.750,-13.59
000:00:09.775,-11.68
000:00:09.800, 3.21
000:00:09.825,13.05
000:00:09.850,23.05
000:00:09.875,13.44
000:00:09.900, 7.10
000:00:09.925,11.60
000:00:09.950,25.73
000:00:09.975,35.73
000:00:10.000,35.34
000:00:10.025,14.73
000:00:10.050,18.24
000:00:10.075,23.89
000:00:10.100,12.75
000:00:10.125, 7.10
000:00:10.150,12.75
000:00:10.175,13.59
000:00:10.200, 9.16
000:00:10.225, 7.71
000:00:10.250,16.18
000:00:10.275,19.92
000:00:10.300,20.00
000:00:10.325,10.00
000:00:10.350,14.43
000:00:10.375,14.05
000:00:10.400, 9.77
000:00:10.425, 4.50
000:00:10.450, 7.71
000:00:10.475, 8.70
000:00:10.500,10.92
000:00:10.525, 9.62
000:00:10.550, 7.10
000:00:10.575, 1.68
000:00:10.600, 6.11
000:00:10.625,13.21
000:00:10.650,15.04
000:00:10.675, 0.08
000:00:10.700,-5.73
000:00:10.725,-0.46
000:00:10.750, 4.58
000:00:10.775,-9.08
000:00:10.800,-21.53
000:00:10.825,-15.27
000:00:10.850, 5.34
000:00:10.875, 9.69
000:00:10.900,-8.47
000:00:10.925,-27.10
000:00:10.950,-15.19
000:00:10.975,-6.18
000:00:11.000,-0.69
000:00:11.025,-3.21
000:00:11.050,-7.63
000:00:11.075,-11.22
000:00:11.100,-3.28
000:00:11.125, 3.59
000:00:11.150, 7.18
000:00:11.175,-4.35
000:00:11.200,-10.38
000:00:11.225,-4.12
000:00:11.250,15.50
000:00:11.275,17.86
000:00:11.300, 8.78
000:00:11.325, 1.60
000:00:11.350, 7.56
000:00:11.375,15.04
000:00:11.400,12.37
000:00:11.425,-1.68
000:00:11.450, 0.23
000:00:11.475,21.53
000:00:11.500,16.34
000:00:11.525,-2.75
000:00:11.550,-14.96
000:00:11.575, 4.81
000:00:11.600,18.24
000:00:11.625,-3.28
000:00:11.650,-11.76
000:00:11.675,-1.45
000:00:11.700, 5.73
000:00:11.725, 7.33
000:00:11.750, 9.69
000:00:11.775,16.41
000:00:11.800,-3.89
000:00:11.825,-14.27
000:00:11.850, 2.29
000:00:11.875,17.86
000:00:11.900,24.05
000:00:11.925,12.82
000:00:11.950,-2.52
000:00:11.975, 9.47
000:00:12.000,12.60
000:00:12.025, 2.52
000:00:12.050,-1.15
000:00:12.075, 6.03
000:00:12.100,22.21
000:00:12.125,18.02
000:00:12.150,-4.05
000:00:12.175,-11.15
000:00:12.200, 6.03
000:00:12.225,13.89
000:00:12.250,-4.81
000:00:12.275, 0.84
000:00:12.300, 0.92
000:00:12.325,-4.05
000:00:12.350,-2.14
000:00:12.375,10.38
000:00:12.400, 6.72
000:00:12.425,-22.98
000:00:12.450,-40.08
000:00:12.475,-15.19
000:00:12.500,10.53
000:00:12.525, 9.62
000:00:12.550, 5.04
000:00:12.575, 9.08
000:00:12.600,10.84
000:00:12.625, 6.95
000:00:12.650, 4.73
000:00:12.675, 8.55
000:00:12.700,15.50
000:00:12.725, 5.27
000:00:12.750,-3.44
000:00:12.775,-5.11
000:00:12.800,-1.98
000:00:12.825, 2.14
000:00:12.850,-0.31
000:00:12.875,-3.05
000:00:12.900, 0.00
000:00:12.925, 2.29
000:00:12.950,14.73
000:00:12.975,19.08
000:00:13.000, 0.53
000:00:13.025,-5.50
000:00:13.050, 4.35
000:00:13.075,10.53
000:00:13.100, 6.41
000:00:13.125, 2.60
000:00:13.150, 6.34
000:00:13.175, 6.18
000:00:13.200, 7.94
000:00:13.225,-0.69
000:00:13.250,-6.34
000:00:13.275,-8.63
000:00:13.300,-1.91
000:00:13.325,10.61
000:00:13.350,11.91
000:00:13.375,-8.78
000:00:13.400,-13.28
000:00:13.425,-17.40
000:00:13.450,-17.56
000:00:13.475,-9.54
000:00:13.500, 5.04
000:00:13.525,-17.48
000:00:13.550,-38.09
000:00:13.575,-12.44
000:00:13.600,21.30
000:00:13.625, 2.75
000:00:13.650,-15.34
000:00:13.675,-13.44
000:00:13.700,-1.15
000:00:13.725,-6.64
000:00:13.750,-1.45
000:00:13.775, 7.02
000:00:13.800,-2.75
000:00:13.825,-39.39
000:00:13.850,-31.30
000:00:13.875,-3.13
000:00:13.900,13.28
000:00:13.925,15.50
000:00:13.950, 4.89
000:00:13.975,-11.53
000:00:14.000,-5.57
000:00:14.025,13.59
000:00:14.050, 8.17
000:00:14.075,-9.01
000:00:14.100, 1.45
000:00:14.125, 4.81
000:00:14.150, 8.09
000:00:14.175, 8.40
000:00:14.200,10.38
000:00:14.225, 3.28
000:00:14.250,-12.52
000:00:14.275,-14.96
000:00:14.300, 7.63
000:00:14.325,22.06
000:00:14.350, 7.56
000:00:14.375,-15.80
000:00:14.400,-6.64
000:00:14.425,17.63
000:00:14.450,24.66
000:00:14.475, 7.02
000:00:14.500,-8.40
000:00:14.525,-7.48
000:00:14.550,-6.41
000:00:14.575,-2.90
000:00:14.600,-3.74
000:00:14.625,-17.94
000:00:14.650,-40.46
000:00:14.675,-41.07
000:00:14.700,-10.69
000:00:14.725, 6.11
000:00:14.750, 4.73
000:00:14.775,-3.13
000:00:14.800,-12.82
000:00:14.825,-18.78
000:00:14.850,-7.02
000:00:14.875,-1.68
000:00:14.900,-0.46
000:00:14.925, 4.66
000:00:14.950, 4.20
000:00:14.975,-6.49
000:00:15.000, 0.76
000:00:15.025,17.40
000:00:15.050, 9.31
000:00:15.075,-12.52
000:00:15.100,-9.54
000:00:15.125, 7.79
000:00:15.150, 2.90
000:00:15.175,-6.34
000:00:15.200,-6.34
000:00:15.225, 4.05
000:00:15.250, 4.27
000:00:15.275,-8.17
000:00:15.300,-27.56
000:00:15.325,-21.83
000:00:15.350, 0.53
000:00:15.375,12.37
000:00:15.400,12.29
000:00:15.425, 2.06
000:00:15.450,-13.66
000:00:15.475,-26.11
000:00:15.500,-20.31
000:00:15.525,17.25
000:00:15.550,30.84
000:00:15.575,15.27
000:00:15.600, 3.74
000:00:15.625, 2.98
000:00:15.650,12.82
000:00:15.675,19.01
000:00:15.700, 8.09
000:00:15.725, 2.29
000:00:15.750, 0.92
000:00:15.775, 4.50
000:00:15.800, 2.37
000:00:15.825,18.78
000:00:15.850,25.95
000:00:15.875,20.46
000:00:15.900,13.36
000:00:15.925,10.84
000:00:15.950, 6.87
000:00:15.975, 5.80
000:00:16.000,10.92
000:00:16.025,14.12
000:00:16.050, 1.15
000:00:16.075,-10.61
000:00:16.100,-9.08
000:00:16.125, 8.93
000:00:16.150, 8.02
000:00:16.175,-13.89
000:00:16.200,-18.93
000:00:16.225,-2.21
000:00:16.250, 2.90
000:00:16.275,-11.60
000:00:16.300,-38.40
000:00:16.325,-34.12
000:00:16.350,-5.73
000:00:16.375, 0.31
000:00:16.400,-16.03
000:00:16.425,-30.38
000:00:16.450,-26.26
000:00:16.475,-13.51
000:00:16.500,-20.53
000:00:16.525,-31.37
000:00:16.550,-15.57
000:00:16.575,-1.76
000:00:16.600,-9.62
000:00:16.625,-24.89
000:00:16.650,-6.41
000:00:16.675,12.29
000:00:16.700, 2.98
000:00:16.725,-15.42
000:00:16.750,-15.65
000:00:16.775,-3.21
000:00:16.800,-1.98
000:00:16.825,-7.25
