TIME, 1-REF
000:00:00.000,0.0
000:00:00.025,0.0
000:00:00.050,0.0
000:00:00.075,0.0
000:00:00.100,0.0
000:00:00.125,0.0
000:00:00.150,42.67
000:00:00.175,46.41
000:00:00.200,42.52
000:00:00.225,27.18
000:00:00.250,11.76
000:00:00.275,14.58
000:00:00.300,32.75
000:00:00.325,30.53
000:00:00.350,7.1
000:00:00.375,-10.38
000:00:00.400,-5.04
000:00:00.425,5.95
000:00:00.450,-5.04
000:00:00.475,-21.91
000:00:00.500,-3.21
000:00:00.525,-4.73
000:00:00.550,-27.71
000:00:00.575,-32.75
000:00:00.600,-13.51
000:00:00.625,0.69
000:00:00.650,-11.98
000:00:00.675,-8.7
000:00:00.700,12.9
000:00:00.725,13.13
000:00:00.750,10.53
000:00:00.775,-22.06
000:00:00.800,-34.81
000:00:00.825,-30.84
000:00:00.850,-40.84
000:00:00.875,-36.72
000:00:00.900,-10.0
000:00:00.925,12.29
000:00:00.950,9.47
000:00:00.975,-19.01
000:00:01.000,-31.76
000:00:01.025,-33.13
000:00:01.050,-32.14
000:00:01.075,-31.53
000:00:01.100,-19.85
000:00:01.125,9.69
000:00:01.150,0.0
000:00:01.175,0.0
000:00:01.200,25.95
000:00:01.225,16.56
000:00:01.250,23.59
000:00:01.275,26.95
000:00:01.300,2.98
000:00:01.325,-10.69
000:00:01.350,19.08
000:00:01.375,0.0
000:00:01.400,0.0
000:00:01.425,0.0
000:00:01.450,0.0
000:00:01.475,3.28
000:00:01.500,12.98
000:00:01.525,29.24
000:00:01.550,44.5
000:00:01.575,42.44
000:00:01.600,42.21
000:00:01.625,24.2
000:00:01.650,4.27
000:00:01.675,1.6
000:00:01.700,14.58
000:00:01.725,11.76
000:00:01.750,-8.85
000:00:01.775,-32.21
000:00:01.800,-24.89
000:00:01.825,-12.37
000:00:01.850,-6.41
000:00:01.875,-4.5
000:00:01.900,-5.04
000:00:01.925,-17.71
000:00:01.950,-10.92
000:00:01.975,4.35
000:00:02.000,31.76
000:00:02.025,30.61
000:00:02.050,5.34
000:00:02.075,-12.6
000:00:02.100,-7.86
000:00:02.125,2.21
000:00:02.150,2.6
000:00:02.175,-5.57
000:00:02.200,2.6
000:00:02.225,5.95
000:00:02.250,-6.18
000:00:02.275,-25.88
000:00:02.300,-19.77
000:00:02.325,-3.59
000:00:02.350,-2.52
000:00:02.375,-24.12
000:00:02.400,-17.33
000:00:02.425,6.18
000:00:02.450,-11.53
000:00:02.475,-25.73
000:00:02.500,-9.47
000:00:02.525,12.06
000:00:02.550,6.49
000:00:02.575,-11.15
000:00:02.600,-16.11
000:00:02.625,-14.2
000:00:02.650,-8.09
000:00:02.675,-10.84
000:00:02.700,1.68
000:00:02.725,29.08
000:00:02.750,0.61
000:00:02.775,-48.55
000:00:02.800,0.0
000:00:02.825,0.0
000:00:02.850,0.0
000:00:02.875,-26.49
000:00:02.900,0.0
000:00:02.925,0.0
000:00:02.950,0.0
000:00:02.975,0.0
000:00:03.000,0.0
000:00:03.025,0.0
000:00:03.050,-3.13
000:00:03.075,-17.48
000:00:03.100,-20.38
000:00:03.125,-18.09
000:00:03.150,-22.44
000:00:03.175,-16.49
000:00:03.200,-8.4
000:00:03.225,-3.59
000:00:03.250,-7.86
000:00:03.275,-18.78
000:00:03.300,-9.62
000:00:03.325,22.82
000:00:03.350,37.86
000:00:03.375,35.04
000:00:03.400,36.11
000:00:03.425,35.88
000:00:03.450,24.27
000:00:03.475,27.48
000:00:03.500,0.0
000:00:03.525,0.0
000:00:03.550,0.0
000:00:03.575,0.0
000:00:03.600,0.0
000:00:03.625,0.0
000:00:03.650,0.0
000:00:03.675,7.18
000:00:03.700,-14.43
000:00:03.725,-12.14
000:00:03.750,-13.59
000:00:03.775,-13.66
000:00:03.800,-1.53
000:00:03.825,21.68
000:00:03.850,20.0
000:00:03.875,4.81
000:00:03.900,-4.73
000:00:03.925,-9.01
000:00:03.950,-12.21
000:00:03.975,-6.87
000:00:04.000,11.83
000:00:04.025,29.01
000:00:04.050,11.3
000:00:04.075,-12.98
000:00:04.100,-24.43
000:00:04.125,-3.66
000:00:04.150,21.76
000:00:04.175,30.69
000:00:04.200,15.57
000:00:04.225,-0.46
