TIME, 1-REF
000:00:00.000,-26.11
000:00:00.025,-6.95
000:00:00.050,-21.98
000:00:00.075,-49.31
000:00:00.100,0.0
000:00:00.125,0.0
000:00:00.150,-10.53
000:00:00.175,-37.02
000:00:00.200,0.0
000:00:00.225,0.0
000:00:00.250,0.0
000:00:00.275,0.0
000:00:00.300,0.0
000:00:00.325,2.06
000:00:00.350,4.5
000:00:00.375,-11.98
000:00:00.400,-19.85
000:00:00.425,-12.37
000:00:00.450,5.65
000:00:00.475,13.13
000:00:00.500,19.54
000:00:00.525,15.42
000:00:00.550,-6.03
000:00:00.575,-13.36
000:00:00.600,-9.24
000:00:00.625,6.11
000:00:00.650,11.37
000:00:00.675,8.24
000:00:00.700,3.44
000:00:00.725,1.45
000:00:00.750,-4.81
000:00:00.775,-2.6
000:00:00.800,11.6
000:00:00.825,17.4
000:00:00.850,16.41
000:00:00.875,10.46
000:00:00.900,11.6
000:00:00.925,24.5
000:00:00.950,24.12
000:00:00.975,12.29
000:00:01.000,6.34
000:00:01.025,22.14
000:00:01.050,0.0
000:00:01.075,0.0
000:00:01.100,0.0
000:00:01.125,0.0
000:00:01.150,0.0
000:00:01.175,0.0
000:00:01.200,12.37
000:00:01.225,17.56
000:00:01.250,-2.52
000:00:01.275,-17.63
000:00:01.300,-22.82
000:00:01.325,-27.1
000:00:01.350,-19.54
000:00:01.375,-25.04
000:00:01.400,-35.5
000:00:01.425,-33.74
000:00:01.450,-20.99
000:00:01.475,-10.15
000:00:01.500,-0.08
000:00:01.525,7.79
000:00:01.550,27.71
000:00:01.575,3.21
000:00:01.600,4.73
000:00:01.625,12.67
000:00:01.650,33.13
000:00:01.675,24.35
000:00:01.700,10.08
000:00:01.725,3.89
000:00:01.750,2.06
000:00:01.775,15.04
000:00:01.800,39.92
000:00:01.825,41.53
000:00:01.850,39.47
000:00:01.875,31.76
000:00:01.900,45.95
000:00:01.925,0.0
000:00:01.950,0.0
000:00:01.975,16.34
000:00:02.000,-12.75
000:00:02.025,-16.26
000:00:02.050,3.89
000:00:02.075,10.84
000:00:02.100,2.6
000:00:02.125,-9.01
000:00:02.150,7.02
000:00:02.175,2.98
000:00:02.200,-28.63
000:00:02.225,-17.48
000:00:02.250,16.72
000:00:02.275,12.14
000:00:02.300,-5.95
000:00:02.325,-19.92
000:00:02.350,-27.94
000:00:02.375,-31.22
000:00:02.400,-23.28
000:00:02.425,-32.14
000:00:02.450,-30.76
000:00:02.475,-21.91
000:00:02.500,-16.03
000:00:02.525,-12.52
000:00:02.550,-3.28
000:00:02.575,-12.9
000:00:02.600,-17.86
000:00:02.625,-11.37
000:00:02.650,8.93
000:00:02.675,13.28
000:00:02.700,0.31
000:00:02.725,-7.56
000:00:02.750,10.92
000:00:02.775,18.17
000:00:02.800,13.74
000:00:02.825,10.08
000:00:02.850,9.54
000:00:02.875,2.44
000:00:02.900,-5.19
000:00:02.925,-5.5
000:00:02.950,-4.43
000:00:02.975,-10.69
000:00:03.000,-16.34
000:00:03.025,-20.99
000:00:03.050,-25.19
000:00:03.075,-27.4
000:00:03.100,-26.26
000:00:03.125,-26.56
000:00:03.150,-12.75
000:00:03.175,-11.15
000:00:03.200,-1.98
000:00:03.225,-1.15
000:00:03.250,-0.46
000:00:03.275,0.46
000:00:03.300,-3.51
000:00:03.325,-7.48
000:00:03.350,0.31
000:00:03.375,9.62
000:00:03.400,13.13
000:00:03.425,1.22
000:00:03.450,27.56
000:00:03.475,0.0
000:00:03.500,0.0
000:00:03.525,0.0
000:00:03.550,0.0
000:00:03.575,0.0
000:00:03.600,-4.81
000:00:03.625,-32.67
000:00:03.650,-27.63
000:00:03.675,-11.07
000:00:03.700,-22.44
000:00:03.725,-49.47
000:00:03.750,-48.17
000:00:03.775,-25.95
000:00:03.800,-23.66
000:00:03.825,-34.5
000:00:03.850,-25.88
000:00:03.875,-15.8
000:00:03.900,-18.78
000:00:03.925,-20.15
000:00:03.950,-1.15
000:00:03.975,11.07
000:00:04.000,5.57
000:00:04.025,-14.96
000:00:04.050,-16.03
000:00:04.075,-8.4
000:00:04.100,-0.38
000:00:04.125,-3.36
000:00:04.150,0.0
000:00:04.175,0.0
000:00:04.200,0.0
000:00:04.225,0.0
000:00:04.250,0.0
000:00:04.275,0.0
000:00:04.300,-27.25
000:00:04.325,0.0
000:00:04.350,0.0
000:00:04.375,0.0
000:00:04.400,-37.94
000:00:04.425,-36.79
000:00:04.450,-21.45
000:00:04.475,-20.0
000:00:04.500,-21.45
000:00:04.525,-36.34
000:00:04.550,-32.14
000:00:04.575,-7.02
000:00:04.600,6.95
000:00:04.625,3.13
000:00:04.650,-8.17
000:00:04.675,-12.21
000:00:04.700,5.19
000:00:04.725,-0.38
000:00:04.750,14.27
000:00:04.775,0.0
000:00:04.800,0.0
000:00:04.825,0.0
000:00:04.850,19.47
000:00:04.875,30.38
000:00:04.900,29.24
000:00:04.925,24.58
000:00:04.950,34.2
000:00:04.975,29.92
000:00:05.000,21.76
000:00:05.025,27.63
000:00:05.050,0.0
000:00:05.075,0.0
000:00:05.100,0.0
000:00:05.125,0.0
000:00:05.150,0.0
000:00:05.175,0.0
000:00:05.200,10.92
000:00:05.225,7.71
000:00:05.250,13.13
000:00:05.275,8.7
000:00:05.300,7.25
000:00:05.325,-19.39
000:00:05.350,-30.46
000:00:05.375,-25.5
000:00:05.400,-3.82
000:00:05.425,22.9
000:00:05.450,22.67
000:00:05.475,0.84
000:00:05.500,-6.72
000:00:05.525,-16.79
000:00:05.550,-2.44
000:00:05.575,19.54
000:00:05.600,23.66
000:00:05.625,-3.51
000:00:05.650,-27.56
000:00:05.675,-25.04
000:00:05.700,-3.82
000:00:05.725,-8.09
000:00:05.750,-5.73
000:00:05.775,4.66
000:00:05.800,1.98
000:00:05.825,-14.27
000:00:05.850,-14.96
000:00:05.875,-12.67
000:00:05.900,4.43
000:00:05.925,18.4
000:00:05.950,15.04
000:00:05.975,-5.42
000:00:06.000,-12.98
000:00:06.025,-15.73
000:00:06.050,-8.93
000:00:06.075,-4.05
000:00:06.100,10.0
000:00:06.125,11.22
000:00:06.150,-3.13
000:00:06.175,-22.21
000:00:06.200,-5.65
000:00:06.225,9.92
000:00:06.250,7.02
000:00:06.275,-8.47
000:00:06.300,-21.6
000:00:06.325,-33.21
000:00:06.350,-22.98
000:00:06.375,-4.89
000:00:06.400,6.64
000:00:06.425,-20.92
000:00:06.450,-36.95
000:00:06.475,-33.51
000:00:06.500,-7.18
000:00:06.525,17.48
000:00:06.550,15.42
000:00:06.575,-18.55
000:00:06.600,-32.6
000:00:06.625,-24.12
000:00:06.650,-26.18
000:00:06.675,-18.85
000:00:06.700,-3.44
000:00:06.725,4.35
000:00:06.750,-12.9
000:00:06.775,-35.42
000:00:06.800,-29.47
000:00:06.825,-10.38
000:00:06.850,-0.53
000:00:06.875,-17.63
000:00:06.900,-25.27
000:00:06.925,-12.29
000:00:06.950,-7.71
000:00:06.975,-10.23
000:00:07.000,-0.31
000:00:07.025,0.61
000:00:07.050,-9.31
000:00:07.075,-16.18
000:00:07.100,-5.04
000:00:07.125,20.0
000:00:07.150,20.84
000:00:07.175,-1.91
000:00:07.200,-11.68
000:00:07.225,-26.79
000:00:07.250,-25.5
000:00:07.275,-13.97
000:00:07.300,3.05
000:00:07.325,8.63
000:00:07.350,-14.27
000:00:07.375,-45.8
000:00:07.400,-26.03
000:00:07.425,1.37
000:00:07.450,11.98
000:00:07.475,4.81
000:00:07.500,4.27
000:00:07.525,-5.04
000:00:07.550,-8.32
000:00:07.575,-3.28
000:00:07.600,4.27
000:00:07.625,22.67
000:00:07.650,39.08
000:00:07.675,31.76
000:00:07.700,14.96
000:00:07.725,15.27
000:00:07.750,25.34
000:00:07.775,32.9
000:00:07.800,27.18
000:00:07.825,16.34
000:00:07.850,4.43
000:00:07.875,-14.05
000:00:07.900,-18.09
000:00:07.925,8.24
000:00:07.950,32.44
000:00:07.975,24.35
000:00:08.000,-1.53
000:00:08.025,-5.88
000:00:08.050,-2.06
000:00:08.075,-12.75
000:00:08.100,-0.53
000:00:08.125,29.39
000:00:08.150,25.5
000:00:08.175,-9.01
000:00:08.200,-24.12
000:00:08.225,-16.41
000:00:08.250,-1.53
000:00:08.275,11.91
000:00:08.300,7.94
000:00:08.325,-3.05
000:00:08.350,-7.94
000:00:08.375,-18.09
000:00:08.400,-1.3
000:00:08.425,24.81
000:00:08.450,21.45
000:00:08.475,-6.34
000:00:08.500,-16.49
000:00:08.525,-14.27
000:00:08.550,-6.56
000:00:08.575,-12.37
000:00:08.600,-19.62
000:00:08.625,-29.47
000:00:08.650,0.0
000:00:08.675,0.0
000:00:08.700,0.0
000:00:08.725,0.0
000:00:08.750,0.0
000:00:08.775,-44.43
000:00:08.800,0.0
000:00:08.825,0.0
000:00:08.850,-38.78
000:00:08.875,-25.88
000:00:08.900,-16.79
000:00:08.925,13.28
000:00:08.950,0.0
000:00:08.975,0.0
000:00:09.000,0.0
000:00:09.025,44.05
