TIME, 1-REF
000:00:00.000,0.0
000:00:00.025,0.0
000:00:00.050,0.0
000:00:00.075,0.0
000:00:00.100,0.0
000:00:00.125,29.69
000:00:00.150,40.61
000:00:00.175,0.0
000:00:00.200,0.0
000:00:00.225,0.0
000:00:00.250,5.88
000:00:00.275,8.02
000:00:00.300,20.84
000:00:00.325,17.33
000:00:00.350,1.53
000:00:00.375,13.97
000:00:00.400,6.34
000:00:00.425,-2.52
000:00:00.450,5.11
000:00:00.475,0.0
000:00:00.500,0.0
000:00:00.525,0.0
000:00:00.550,0.0
000:00:00.575,-19.77
000:00:00.600,-18.85
000:00:00.625,-18.78
000:00:00.650,-31.6
000:00:00.675,-49.62
000:00:00.700,0.0
000:00:00.725,0.0
000:00:00.750,0.0
000:00:00.775,0.0
000:00:00.800,-31.6
000:00:00.825,-34.2
000:00:00.850,-27.48
000:00:00.875,-10.23
000:00:00.900,-8.7
000:00:00.925,-18.32
000:00:00.950,-40.15
000:00:00.975,-44.12
000:00:01.000,-22.44
000:00:01.025,-9.01
000:00:01.050,-18.17
000:00:01.075,-24.35
000:00:01.100,-4.89
000:00:01.125,-3.89
000:00:01.150,-9.77
000:00:01.175,-8.93
000:00:01.200,0.38
000:00:01.225,-0.15
000:00:01.250,-2.67
000:00:01.275,0.15
000:00:01.300,4.12
000:00:01.325,13.21
000:00:01.350,14.5
000:00:01.375,3.82
000:00:01.400,12.06
000:00:01.425,12.9
000:00:01.450,4.05
000:00:01.475,-2.21
000:00:01.500,-2.82
000:00:01.525,-3.21
000:00:01.550,-3.66
000:00:01.575,1.07
000:00:01.600,13.36
000:00:01.625,9.92
000:00:01.650,1.6
000:00:01.675,1.07
000:00:01.700,7.25
000:00:01.725,10.53
000:00:01.750,-2.06
000:00:01.775,-1.07
000:00:01.800,6.49
000:00:01.825,18.93
000:00:01.850,35.95
000:00:01.875,0.0
000:00:01.900,0.0
000:00:01.925,0.0
000:00:01.950,27.71
000:00:01.975,14.5
000:00:02.000,0.0
000:00:02.025,0.0
000:00:02.050,0.0
000:00:02.075,0.0
000:00:02.100,38.93
000:00:02.125,41.07
000:00:02.150,20.61
000:00:02.175,5.42
000:00:02.200,6.03
000:00:02.225,12.6
000:00:02.250,8.78
000:00:02.275,9.69
000:00:02.300,16.34
000:00:02.325,18.78
000:00:02.350,14.89
000:00:02.375,8.4
000:00:02.400,12.14
000:00:02.425,19.39
000:00:02.450,10.46
000:00:02.475,4.96
000:00:02.500,0.0
000:00:02.525,-1.91
000:00:02.550,-5.04
000:00:02.575,-13.36
000:00:02.600,-11.98
000:00:02.625,-4.12
000:00:02.650,-17.25
000:00:02.675,-30.92
000:00:02.700,-31.83
000:00:02.725,-34.81
000:00:02.750,-30.99
000:00:02.775,-21.45
000:00:02.800,-4.43
000:00:02.825,-7.56
000:00:02.850,-24.81
000:00:02.875,-26.49
000:00:02.900,-17.63
000:00:02.925,16.11
000:00:02.950,14.27
000:00:02.975,1.83
000:00:03.000,28.4
000:00:03.025,0.0
000:00:03.050,0.0
000:00:03.075,0.0
000:00:03.100,0.0
000:00:03.125,0.0
000:00:03.150,-31.98
000:00:03.175,0.0
000:00:03.200,0.0
000:00:03.225,0.0
000:00:03.250,0.0
000:00:03.275,0.0
000:00:03.300,0.0
000:00:03.325,0.0
000:00:03.350,-33.89
000:00:03.375,0.0
000:00:03.400,0.0
000:00:03.425,0.0
000:00:03.450,-32.06
000:00:03.475,2.82
000:00:03.500,13.66
000:00:03.525,-14.2
000:00:03.550,-26.26
000:00:03.575,-11.6
000:00:03.600,-43.82
000:00:03.625,0.0
000:00:03.650,0.0
000:00:03.675,0.0
000:00:03.700,0.0
000:00:03.725,0.0
000:00:03.750,-21.6
000:00:03.775,-14.89
000:00:03.800,-24.12
000:00:03.825,-15.73
000:00:03.850,7.71
000:00:03.875,-4.89
000:00:03.900,-34.73
000:00:03.925,-26.64
000:00:03.950,-28.02
000:00:03.975,-42.14
000:00:04.000,0.0
000:00:04.025,0.0
000:00:04.050,-28.02
000:00:04.075,-30.23
000:00:04.100,-39.54
000:00:04.125,-9.69
000:00:04.150,0.0
000:00:04.175,0.0
000:00:04.200,0.0
000:00:04.225,0.0
000:00:04.250,42.9
