TIME, 1-REF
000:00:00.000,0.0
000:00:00.025,0.0
000:00:00.050,0.0
000:00:00.075,0.0
000:00:00.100,0.0
000:00:00.125,0.0
000:00:00.150,0.0
000:00:00.175,0.0
000:00:00.200,0.0
000:00:00.225,0.0
000:00:00.250,0.0
000:00:00.275,0.0
000:00:00.300,0.0
000:00:00.325,33.89
000:00:00.350,37.25
000:00:00.375,41.6
000:00:00.400,34.5
000:00:00.425,11.76
000:00:00.450,15.88
000:00:00.475,30.84
000:00:00.500,20.99
000:00:00.525,6.87
000:00:00.550,7.63
000:00:00.575,16.95
000:00:00.600,7.56
000:00:00.625,-8.17
000:00:00.650,-5.88
000:00:00.675,-1.45
000:00:00.700,-12.06
000:00:00.725,-31.6
000:00:00.750,-49.01
000:00:00.775,-43.97
000:00:00.800,-22.75
000:00:00.825,-17.56
000:00:00.850,-0.92
000:00:00.875,-4.89
000:00:00.900,-30.76
000:00:00.925,-37.02
000:00:00.950,-20.92
000:00:00.975,-5.04
000:00:01.000,-17.18
000:00:01.025,0.0
000:00:01.050,0.0
000:00:01.075,0.0
000:00:01.100,0.0
000:00:01.125,0.0
000:00:01.150,0.0
000:00:01.175,-33.21
000:00:01.200,-39.01
000:00:01.225,-34.2
000:00:01.250,-41.15
000:00:01.275,-30.99
000:00:01.300,-26.49
000:00:01.325,-23.74
000:00:01.350,-27.71
000:00:01.375,-43.28
000:00:01.400,0.0
000:00:01.425,0.0
000:00:01.450,0.0
000:00:01.475,-5.73
000:00:01.500,-35.04
000:00:01.525,0.0
000:00:01.550,0.0
000:00:01.575,0.0
000:00:01.600,0.0
000:00:01.625,0.0
000:00:01.650,-10.31
000:00:01.675,-3.36
000:00:01.700,-16.11
000:00:01.725,-32.29
000:00:01.750,-23.97
000:00:01.775,6.56
000:00:01.800,14.73
000:00:01.825,2.06
000:00:01.850,-0.53
000:00:01.875,12.44
000:00:01.900,19.54
000:00:01.925,20.69
000:00:01.950,26.41
000:00:01.975,33.28
000:00:02.000,36.34
000:00:02.025,27.56
000:00:02.050,20.53
000:00:02.075,24.58
000:00:02.100,14.73
000:00:02.125,9.69
000:00:02.150,10.08
000:00:02.175,16.56
000:00:02.200,14.66
000:00:02.225,11.45
000:00:02.250,15.11
000:00:02.275,35.27
000:00:02.300,41.68
000:00:02.325,27.1
000:00:02.350,10.15
000:00:02.375,17.79
000:00:02.400,30.08
000:00:02.425,34.66
000:00:02.450,35.57
000:00:02.475,28.24
000:00:02.500,22.9
000:00:02.525,16.26
000:00:02.550,23.13
000:00:02.575,35.04
000:00:02.600,41.91
000:00:02.625,37.48
000:00:02.650,33.36
000:00:02.675,44.35
000:00:02.700,48.85
000:00:02.725,35.8
000:00:02.750,29.24
000:00:02.775,33.59
000:00:02.800,25.8
000:00:02.825,15.42
000:00:02.850,6.79
000:00:02.875,13.51
000:00:02.900,19.85
000:00:02.925,11.45
000:00:02.950,4.12
000:00:02.975,12.67
000:00:03.000,10.76
000:00:03.025,5.88
000:00:03.050,9.24
000:00:03.075,10.69
000:00:03.100,15.65
000:00:03.125,7.71
000:00:03.150,-0.69
000:00:03.175,11.91
000:00:03.200,9.08
000:00:03.225,9.85
000:00:03.250,8.17
000:00:03.275,-4.73
000:00:03.300,-0.31
000:00:03.325,-0.31
000:00:03.350,-4.66
000:00:03.375,-6.18
000:00:03.400,-6.79
000:00:03.425,-12.9
000:00:03.450,-29.69
000:00:03.475,-29.69
000:00:03.500,-4.89
000:00:03.525,-0.99
000:00:03.550,-13.13
000:00:03.575,-20.53
000:00:03.600,-0.15
000:00:03.625,1.53
000:00:03.650,-14.81
000:00:03.675,-21.68
000:00:03.700,0.38
000:00:03.725,7.71
000:00:03.750,2.82
000:00:03.775,-0.46
000:00:03.800,16.41
000:00:03.825,17.02
000:00:03.850,13.21
000:00:03.875,3.74
000:00:03.900,8.32
000:00:03.925,15.11
000:00:03.950,24.58
000:00:03.975,28.24
000:00:04.000,24.96
000:00:04.025,14.96
000:00:04.050,8.17
000:00:04.075,-4.58
000:00:04.100,10.0
000:00:04.125,17.94
000:00:04.150,-1.68
000:00:04.175,-21.22
000:00:04.200,-10.99
000:00:04.225,-0.31
000:00:04.250,4.27
000:00:04.275,0.99
