TIME, 1-REF
000:00:00.000,-1.3
000:00:00.025,-3.74
000:00:00.050,0.99
000:00:00.075,-1.15
000:00:00.100,-22.14
000:00:00.125,-18.4
000:00:00.150,2.52
000:00:00.175,-10.53
000:00:00.200,-21.22
000:00:00.225,-25.8
000:00:00.250,-23.89
000:00:00.275,-40.31
000:00:00.300,-40.08
000:00:00.325,-15.95
000:00:00.350,-13.36
000:00:00.375,-42.06
000:00:00.400,-35.5
000:00:00.425,-25.8
000:00:00.450,-31.37
000:00:00.475,-37.94
000:00:00.500,-15.57
000:00:00.525,-8.93
000:00:00.550,-12.75
000:00:00.575,-12.75
000:00:00.600,-33.36
000:00:00.625,-28.63
000:00:00.650,-7.48
000:00:00.675,2.9
000:00:00.700,5.42
000:00:00.725,3.51
000:00:00.750,25.19
000:00:00.775,28.17
000:00:00.800,7.33
000:00:00.825,-14.5
000:00:00.850,3.66
000:00:00.875,22.98
000:00:00.900,14.35
000:00:00.925,-7.25
000:00:00.950,-3.82
000:00:00.975,5.42
000:00:01.000,8.24
000:00:01.025,-0.23
000:00:01.050,-8.09
000:00:01.075,-3.36
000:00:01.100,-6.26
000:00:01.125,-23.97
000:00:01.150,-22.82
000:00:01.175,0.53
000:00:01.200,20.46
000:00:01.225,44.66
000:00:01.250,49.62
000:00:01.275,28.7
000:00:01.300,-2.52
000:00:01.325,6.49
000:00:01.350,25.19
000:00:01.375,17.86
000:00:01.400,17.02
000:00:01.425,12.06
000:00:01.450,-17.18
000:00:01.475,-7.02
000:00:01.500,10.84
000:00:01.525,4.96
000:00:01.550,-18.63
000:00:01.575,-32.21
000:00:01.600,-18.09
000:00:01.625,-20.23
000:00:01.650,-16.79
000:00:01.675,-8.47
000:00:01.700,-5.42
000:00:01.725,-25.95
000:00:01.750,-41.91
000:00:01.775,-26.64
000:00:01.800,-20.0
000:00:01.825,-27.1
000:00:01.850,-30.92
000:00:01.875,-22.52
000:00:01.900,-25.04
000:00:01.925,-32.52
000:00:01.950,-20.61
000:00:01.975,-4.05
000:00:02.000,-0.76
000:00:02.025,0.15
000:00:02.050,-3.89
000:00:02.075,-21.15
000:00:02.100,-34.73
000:00:02.125,-22.29
000:00:02.150,-15.42
000:00:02.175,-3.36
000:00:02.200,13.28
000:00:02.225,0.69
000:00:02.250,41.15
000:00:02.275,0.0
000:00:02.300,0.0
000:00:02.325,0.0
000:00:02.350,0.0
000:00:02.375,30.31
000:00:02.400,26.26
000:00:02.425,5.95
000:00:02.450,5.11
000:00:02.475,20.61
000:00:02.500,28.55
000:00:02.525,-0.31
000:00:02.550,-18.4
000:00:02.575,-4.2
000:00:02.600,9.92
000:00:02.625,15.73
000:00:02.650,15.88
000:00:02.675,6.03
000:00:02.700,0.46
000:00:02.725,-8.7
000:00:02.750,-10.61
000:00:02.775,17.71
000:00:02.800,41.98
000:00:02.825,46.64
000:00:02.850,34.66
000:00:02.875,33.13
000:00:02.900,0.0
000:00:02.925,0.0
000:00:02.950,0.0
000:00:02.975,0.0
000:00:03.000,0.0
000:00:03.025,0.0
000:00:03.050,7.25
000:00:03.075,29.77
000:00:03.100,0.0
000:00:03.125,0.0
000:00:03.150,13.59
000:00:03.175,5.04
000:00:03.200,21.76
000:00:03.225,24.89
000:00:03.250,21.53
000:00:03.275,18.7
000:00:03.300,14.35
000:00:03.325,16.03
000:00:03.350,23.44
000:00:03.375,19.31
000:00:03.400,18.32
000:00:03.425,6.26
000:00:03.450,-5.11
000:00:03.475,-4.12
000:00:03.500,0.69
000:00:03.525,0.92
000:00:03.550,-6.03
000:00:03.575,-11.07
000:00:03.600,-4.05
000:00:03.625,0.92
000:00:03.650,-12.44
000:00:03.675,-14.81
000:00:03.700,-2.37
000:00:03.725,1.91
000:00:03.750,0.15
000:00:03.775,4.89
000:00:03.800,11.15
000:00:03.825,-10.31
000:00:03.850,-23.66
000:00:03.875,-33.89
000:00:03.900,-15.34
000:00:03.925,0.08
000:00:03.950,-4.81
000:00:03.975,-19.77
000:00:04.000,-12.44
000:00:04.025,-4.5
000:00:04.050,-4.12
000:00:04.075,6.26
000:00:04.100,24.58
000:00:04.125,16.49
000:00:04.150,-13.05
000:00:04.175,-15.5
000:00:04.200,15.27
000:00:04.225,32.75
000:00:04.250,30.46
000:00:04.275,20.53
000:00:04.300,16.72
000:00:04.325,8.78
000:00:04.350,11.91
000:00:04.375,28.17
000:00:04.400,32.21
000:00:04.425,3.51
000:00:04.450,-32.29
000:00:04.475,-39.16
000:00:04.500,-13.66
000:00:04.525,9.85
000:00:04.550,10.92
000:00:04.575,-17.63
000:00:04.600,-27.56
000:00:04.625,-18.85
000:00:04.650,-14.73
000:00:04.675,-7.94
000:00:04.700,15.5
000:00:04.725,0.0
000:00:04.750,0.0
000:00:04.775,0.0
000:00:04.800,0.0
000:00:04.825,0.0
000:00:04.850,0.0
000:00:04.875,25.88
000:00:04.900,9.39
000:00:04.925,-19.47
000:00:04.950,-36.95
000:00:04.975,-26.03
000:00:05.000,-15.27
000:00:05.025,-10.53
000:00:05.050,-16.03
000:00:05.075,-31.3
000:00:05.100,-28.32
000:00:05.125,-11.07
000:00:05.150,6.87
000:00:05.175,-9.24
000:00:05.200,-6.11
000:00:05.225,18.09
000:00:05.250,24.96
000:00:05.275,13.13
000:00:05.300,-7.1
000:00:05.325,-18.17
000:00:05.350,-4.2
000:00:05.375,17.56
000:00:05.400,21.3
000:00:05.425,18.85
000:00:05.450,10.76
000:00:05.475,-11.45
000:00:05.500,-7.71
000:00:05.525,20.08
000:00:05.550,1.98
000:00:05.575,-24.58
000:00:05.600,-34.81
000:00:05.625,-34.58
000:00:05.650,-14.73
000:00:05.675,1.53
000:00:05.700,11.53
000:00:05.725,6.72
000:00:05.750,6.11
000:00:05.775,-2.21
000:00:05.800,-5.8
000:00:05.825,6.03
000:00:05.850,32.75
000:00:05.875,10.46
000:00:05.900,-17.18
000:00:05.925,-8.02
000:00:05.950,-1.15
000:00:05.975,6.26
000:00:06.000,6.26
000:00:06.025,7.33
000:00:06.050,4.12
000:00:06.075,-19.31
000:00:06.100,-23.13
000:00:06.125,18.32
000:00:06.150,32.98
000:00:06.175,18.09
000:00:06.200,1.68
000:00:06.225,-6.34
000:00:06.250,1.07
000:00:06.275,17.33
000:00:06.300,25.88
000:00:06.325,27.25
000:00:06.350,5.57
000:00:06.375,-12.98
000:00:06.400,-25.04
000:00:06.425,-10.23
000:00:06.450,15.42
000:00:06.475,6.56
000:00:06.500,-0.38
000:00:06.525,-0.84
000:00:06.550,-0.76
000:00:06.575,0.38
000:00:06.600,1.07
000:00:06.625,8.78
000:00:06.650,20.69
000:00:06.675,1.91
000:00:06.700,-14.27
000:00:06.725,-10.84
000:00:06.750,12.37
000:00:06.775,6.64
000:00:06.800,5.42
000:00:06.825,8.02
000:00:06.850,8.7
000:00:06.875,0.53
000:00:06.900,-0.15
000:00:06.925,31.07
000:00:06.950,0.0
000:00:06.975,0.0
000:00:07.000,0.0
000:00:07.025,0.0
000:00:07.050,0.0
000:00:07.075,0.0
000:00:07.100,0.0
000:00:07.125,11.76
000:00:07.150,11.53
000:00:07.175,-8.93
000:00:07.200,-38.55
000:00:07.225,-49.69
000:00:07.250,-42.82
000:00:07.275,-34.05
000:00:07.300,-30.31
000:00:07.325,-44.2
000:00:07.350,0.0
000:00:07.375,0.0
000:00:07.400,0.0
000:00:07.425,0.0
000:00:07.450,-19.54
000:00:07.475,-14.96
000:00:07.500,-19.85
000:00:07.525,0.0
000:00:07.550,0.0
000:00:07.575,0.0
000:00:07.600,-49.77
000:00:07.625,0.0
000:00:07.650,0.0
000:00:07.675,0.0
000:00:07.700,0.0
000:00:07.725,0.0
000:00:07.750,0.0
000:00:07.775,-34.27
000:00:07.800,0.0
000:00:07.825,0.0
000:00:07.850,0.0
000:00:07.875,0.0
000:00:07.900,-20.23
000:00:07.925,0.0
000:00:07.950,0.0
000:00:07.975,0.0
000:00:08.000,0.0
000:00:08.025,-41.76
000:00:08.050,-18.63
000:00:08.075,-11.45
000:00:08.100,-24.66
000:00:08.125,-44.66
000:00:08.150,-40.76
000:00:08.175,-18.02
000:00:08.200,4.96
000:00:08.225,-12.21
000:00:08.250,-24.27
000:00:08.275,-22.75
000:00:08.300,-35.57
000:00:08.325,-14.5
000:00:08.350,0.46
000:00:08.375,2.37
000:00:08.400,33.89
000:00:08.425,0.0
000:00:08.450,0.0
000:00:08.475,0.0
000:00:08.500,0.0
000:00:08.525,0.0
000:00:08.550,0.0
000:00:08.575,-0.69
000:00:08.600,-27.25
000:00:08.625,-35.11
000:00:08.650,-21.83
000:00:08.675,-10.69
000:00:08.700,-0.38
000:00:08.725,-11.45
000:00:08.750,-38.09
000:00:08.775,-28.63
000:00:08.800,-3.13
000:00:08.825,17.56
000:00:08.850,27.4
000:00:08.875,18.09
000:00:08.900,-0.53
000:00:08.925,-19.31
000:00:08.950,-10.92
000:00:08.975,20.0
000:00:09.000,29.01
000:00:09.025,0.23
000:00:09.050,-17.79
000:00:09.075,-9.85
000:00:09.100,2.67
000:00:09.125,20.31
000:00:09.150,24.89
000:00:09.175,17.56
000:00:09.200,2.75
000:00:09.225,-4.27
000:00:09.250,13.59
000:00:09.275,37.18
000:00:09.300,32.82
000:00:09.325,13.59
000:00:09.350,-5.19
000:00:09.375,-18.47
000:00:09.400,-15.27
000:00:09.425,0.0
000:00:09.450,18.47
000:00:09.475,33.59
000:00:09.500,16.79
000:00:09.525,-4.58
000:00:09.550,-6.49
000:00:09.575,14.81
000:00:09.600,24.35
000:00:09.625,23.28
000:00:09.650,18.78
000:00:09.675,14.43
000:00:09.700,20.99
000:00:09.725,19.47
000:00:09.750,4.89
000:00:09.775,4.27
000:00:09.800,11.22
000:00:09.825,13.97
000:00:09.850,12.29
000:00:09.875,13.59
000:00:09.900,14.81
000:00:09.925,-2.21
000:00:09.950,12.6
000:00:09.975,31.15
000:00:10.000,21.83
000:00:10.025,4.35
000:00:10.050,-10.76
000:00:10.075,-2.6
000:00:10.100,13.82
000:00:10.125,10.92
000:00:10.150,4.27
000:00:10.175,-9.39
000:00:10.200,-18.24
000:00:10.225,-4.2
000:00:10.250,5.27
000:00:10.275,14.2
000:00:10.300,0.99
000:00:10.325,-23.59
000:00:10.350,-23.28
000:00:10.375,-10.31
000:00:10.400,11.07
000:00:10.425,7.1
000:00:10.450,-23.89
000:00:10.475,-36.87
000:00:10.500,-12.82
000:00:10.525,0.76
000:00:10.550,-2.37
000:00:10.575,-8.24
000:00:10.600,7.94
000:00:10.625,-2.06
000:00:10.650,-29.39
000:00:10.675,-31.6
000:00:10.700,1.6
000:00:10.725,6.34
000:00:10.750,-11.68
000:00:10.775,-21.22
000:00:10.800,-15.73
000:00:10.825,-10.0
000:00:10.850,-3.36
000:00:10.875,-9.39
000:00:10.900,8.24
000:00:10.925,16.03
000:00:10.950,11.3
000:00:10.975,6.18
000:00:11.000,12.29
000:00:11.025,4.81
000:00:11.050,3.28
000:00:11.075,11.68
000:00:11.100,19.69
000:00:11.125,16.79
000:00:11.150,-9.62
000:00:11.175,-19.77
000:00:11.200,6.34
000:00:11.225,4.43
000:00:11.250,-8.4
000:00:11.275,-26.34
000:00:11.300,0.0
000:00:11.325,0.0
000:00:11.350,0.0
000:00:11.375,-31.6
000:00:11.400,-48.09
000:00:11.425,0.0
000:00:11.450,0.0
000:00:11.475,0.0
000:00:11.500,-19.16
000:00:11.525,5.19
000:00:11.550,1.22
000:00:11.575,-28.24
000:00:11.600,-31.76
000:00:11.625,-13.21
000:00:11.650,8.32
000:00:11.675,24.12
000:00:11.700,22.98
000:00:11.725,9.31
000:00:11.750,-10.53
000:00:11.775,-9.92
000:00:11.800,12.29
000:00:11.825,22.52
000:00:11.850,13.13
000:00:11.875,-10.61
000:00:11.900,6.56
000:00:11.925,38.7
000:00:11.950,0.0
000:00:11.975,0.0
000:00:12.000,0.0
000:00:12.025,0.0
000:00:12.050,0.0
000:00:12.075,0.0
000:00:12.100,0.0
000:00:12.125,22.44
000:00:12.150,-10.61
000:00:12.175,-26.56
000:00:12.200,-17.56
000:00:12.225,-13.82
000:00:12.250,-22.14
000:00:12.275,-26.64
000:00:12.300,-20.46
000:00:12.325,-7.86
000:00:12.350,2.82
000:00:12.375,11.83
000:00:12.400,-7.25
000:00:12.425,-11.07
000:00:12.450,-3.36
000:00:12.475,-6.72
000:00:12.500,2.21
000:00:12.525,8.47
000:00:12.550,-4.81
000:00:12.575,-19.01
000:00:12.600,-10.92
000:00:12.625,-4.27
000:00:12.650,-4.73
000:00:12.675,-16.56
000:00:12.700,-13.13
000:00:12.725,-1.98
000:00:12.750,-7.1
000:00:12.775,-15.8
000:00:12.800,-12.82
000:00:12.825,-0.69
000:00:12.850,5.11
000:00:12.875,-11.07
000:00:12.900,-14.27
000:00:12.925,3.59
000:00:12.950,12.98
000:00:12.975,-3.28
000:00:13.000,-8.32
000:00:13.025,20.61
000:00:13.050,23.36
000:00:13.075,10.38
000:00:13.100,4.27
000:00:13.125,19.31
000:00:13.150,23.28
000:00:13.175,3.28
000:00:13.200,2.14
000:00:13.225,26.03
000:00:13.250,35.88
000:00:13.275,12.82
000:00:13.300,-1.98
000:00:13.325,11.07
000:00:13.350,15.04
000:00:13.375,2.82
000:00:13.400,2.98
000:00:13.425,13.05
000:00:13.450,8.02
000:00:13.475,-7.02
000:00:13.500,-12.37
000:00:13.525,-7.4
000:00:13.550,4.73
000:00:13.575,-9.69
000:00:13.600,-19.24
000:00:13.625,-14.27
000:00:13.650,4.05
000:00:13.675,7.18
000:00:13.700,4.43
000:00:13.725,13.36
000:00:13.750,23.28
000:00:13.775,5.42
