TIME, 1-REF
000:00:06.375,-0.84
000:00:06.400,-5.5
000:00:06.425,0.84
000:00:06.450,-6.18
000:00:06.475,3.74
000:00:06.500,-8.63
000:00:06.525,-16.11
000:00:06.550,-2.67
000:00:06.575,-1.45
000:00:06.600,-8.78
000:00:06.625,-13.13
000:00:06.650,-21.53
000:00:06.675,-30.08
000:00:06.700,-21.6
000:00:06.725,0.61
000:00:06.750,12.98
000:00:06.775,10.61
000:00:06.800,-1.07
000:00:06.825,-1.45
000:00:06.850,-2.9
000:00:06.875,9.16
000:00:06.900,3.74
000:00:06.925,-11.37
000:00:06.950,-16.64
000:00:06.975,-16.26
000:00:07.000,-4.35
000:00:07.025,0.99
000:00:07.050,-11.3
000:00:07.075,-29.62
000:00:07.100,-40.23
000:00:07.125,-4.27
000:00:07.150,0.0
000:00:07.175,0.0
000:00:07.200,0.0
000:00:07.225,0.0
000:00:07.250,0.0
000:00:07.275,-3.28
000:00:07.300,-11.91
000:00:07.325,-19.47
000:00:07.350,-35.19
000:00:07.375,0.0
000:00:07.400,0.0
000:00:07.425,0.0
000:00:07.450,0.0
000:00:07.475,-10.31
000:00:07.500,-47.02
000:00:07.525,0.0
000:00:07.550,0.0
000:00:07.575,0.0
000:00:07.600,-17.02
000:00:07.625,-8.02
000:00:07.650,0.99
000:00:07.675,-4.12
000:00:07.700,-16.87
000:00:07.725,-30.53
000:00:07.750,-6.11
000:00:07.775,11.22
000:00:07.800,-0.84
000:00:07.825,-33.05
000:00:07.850,-36.56
000:00:07.875,-29.47
000:00:07.900,-13.89
000:00:07.925,-9.47
000:00:07.950,7.86
000:00:07.975,2.75
000:00:08.000,-13.59
000:00:08.025,-20.38
000:00:08.050,-10.92
000:00:08.075,-10.31
000:00:08.100,-5.34
000:00:08.125,-16.34
000:00:08.150,-6.87
000:00:08.175,-7.86
000:00:08.200,-10.46
000:00:08.225,-4.66
000:00:08.250,13.13
000:00:08.275,9.54
000:00:08.300,2.98
000:00:08.325,-8.55
